,d+l_0,d+l_1,d+l_2,d+l_3,d+l_4,d-l_0,d-l_1,d-l_2,d-l_3,d-l_4
A0_1,-1,1,0,0,0,0,0,0,0,0
A0_2,0,-1,1,0,0,0,0,0,0,0
A0_3,0,0,-1,1,0,0,0,0,0,0
A1_0,0,0,0,0,0,-1,1,0,0,0
A1_2,0,0,0,0,0,0,-1,1,0,0
A1_3,0,0,0,0,0,0,0,-1,1,0
A2_1,-1,0,0,1,0,0,0,0,0,0
A2_3,0,0,-1,0,1,1,0,-1,0,0
A2_4,0,-1,0,1,0,0,0,0,0,0
A3_2,0,0,-1,0,1,0,0,0,0,0
A3_4,0,0,1,-1,0,-1,0,1,0,0
A4_3,0,0,0,1,-1,0,0,-1,1,0
A0_4,0,0,0,-1,1,0,0,0,0,0
A1_4,0,0,0,0,0,0,0,0,-1,1
A2_0,-1,0,1,0,0,0,0,0,0,0
A3_0,0,0,-1,0,1,0,1,-1,0,0
A3_1,0,1,-1,0,0,-1,1,0,0,0
A4_0,0,0,1,-1,0,0,-1,1,0,0
A4_1,0,0,0,1,-1,-1,0,0,1,0
A4_2,0,0,0,1,-1,0,-1,0,1,0
