,A0_1,A0_5,A1_2,A2_3,A2_4,A2_5,A3_4,A4_5,A1_0,A2_1,A3_2,A4_0,A4_1,A4_3,A5_1,A5_4,,,A0_1,A0_5,A1_2,A2_3,A2_4,A2_5,A3_4,A4_5,A1_0,A2_1,A3_2,A4_0,A4_1,A4_3,A5_1,A5_4
d+l_1,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d+l_2,0,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0
d+l_3,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,1,0,,,0,-1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0
d+l_4,0,0,0,0,1,-1,1,-1,0,0,0,-1,-1,0,0,0,,,0,-1,0,0,-1,0,-1,0,0,0,0,1,1,0,1,0
d+l_5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,,,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0
d-l_1,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,-1,0,,,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0
d-l_2,0,-1,0,0,1,1,0,0,0,1,-1,0,1,0,0,0,,,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0
d-l_3,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,1,0,,,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,-1,0
d-l_4,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0
d-l_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A0_1,A1_2,A2_3,A3_4,A4_5,A1_0,A2_1,A3_2,A4_3,A5_4,,,,,,,,,,,,,,,,,,,,,,,,
d+l_1,1,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d+l_2,0,1,-1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d+l_3,0,0,1,-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d+l_4,0,0,0,1,-1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d+l_5,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d-l_1,0,0,0,0,0,1,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d-l_2,0,0,0,0,0,0,1,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d-l_3,0,0,0,0,0,0,0,1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,
d-l_4,0,0,0,0,0,0,0,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,
d-l_5,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-1,A0_1,A1_2,A2_3,A3_4,A4_5,A1_0,A2_1,A3_2,A4_3,A5_4,,,,,,,,,,,,,,,,,,,,,,,,
d+l_1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d+l_2,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d+l_3,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d+l_4,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d+l_5,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
d-l_1,0,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
d-l_2,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
d-l_3,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
d-l_4,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
d-l_5,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
