9.063964289668668267e-03,8.164006425754775920e-02,-6.266926743643813635e-01,4.189452266835588801e-01,1.170434191336051644e-01,9.022348325731405216e-02,3.190695127937239195e-01,-5.328270184068970572e-01,1.318176415261769208e-01,-8.283619170317828295e-03
-5.756914296829364341e-02,-9.556695535136128239e-02,2.073459628703669400e-01,5.662386142927173793e-01,-6.204484788434286857e-01,-1.291869877824363688e-01,-2.357935391389979762e-01,-1.249240280463767561e-02,4.070150505179810363e-01,-2.954212079190917176e-02
4.668606905548459973e-02,-3.705961477449456476e-01,3.791445288479086684e-02,1.021977845234552651e-01,1.837978412812151241e-01,7.200312126758803277e-01,-5.142516838682299474e-01,-1.748876211469981290e-01,-3.609529129355387722e-02,5.203383632901223410e-03
-4.767312946228057652e-02,4.290581651605163138e-01,-5.244044240850749272e-01,1.906925178491188921e-01,-4.767312946227991732e-02,4.767312946227968140e-02,-4.290581651605160918e-01,5.244044240850751493e-01,-1.906925178491196693e-01,4.767312946228017406e-02
7.366377686883643361e-02,-5.294729602905399179e-01,-6.614499116200350803e-03,4.452805969159452926e-01,1.714308562195815400e-02,-1.268901107283394170e-01,2.556059475613007281e-01,2.683624501455361688e-01,-5.749233202642582974e-01,1.778450332857600680e-01
-8.168060551280815762e-01,2.908985462012025902e-01,2.867061906729761467e-01,1.865094670758944140e-01,5.269185117800898044e-02,1.802989880914550036e-01,1.046490256613217262e-01,-1.187963011750404752e-01,-2.519964755403735213e-01,8.584476296263721107e-02
3.401656094331608760e-01,3.069342550287691984e-01,7.051754899241113872e-02,-1.476742731905925088e-01,-5.699431402637488153e-01,2.787997941384230960e-01,9.806179858669387961e-02,-2.741429824797320669e-01,-4.192504232507274220e-01,3.165318130053423884e-01
-6.196931865977026166e-02,-5.997688194400421779e-02,-2.468849442882525488e-02,-4.671640971500018447e-02,1.933511047476001721e-01,-3.579310272067945942e-01,-3.288592618598883965e-01,-2.215136285501571600e-01,9.739808187410500806e-02,8.109058357427354480e-01
2.351583554747876115e-01,2.351583554747874172e-01,2.351583554747875560e-01,2.351583554747879723e-01,2.351583554747873617e-01,3.803952521396573583e-01,3.803952521396573028e-01,3.803952521396574693e-01,3.803952521396568587e-01,3.803952521396573028e-01
-3.803952521396572473e-01,-3.803952521396575248e-01,-3.803952521396571917e-01,-3.803952521396574693e-01,-3.803952521396571917e-01,2.351583554747875837e-01,2.351583554747875560e-01,2.351583554747876670e-01,2.351583554747875004e-01,2.351583554747876670e-01
